公告,#genre#
更新日期,https://liuliuliu.tv/api/channels/1997/stream
2025-02-06,https://liuliuliu.tv/api/channels/233/stream
📡  央视频道,#genre#
CCTV1,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$LR•IPV6『线路1』
CCTV1,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226016/index.m3u8$LR•IPV6『线路2』
CCTV1,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8$LR•IPV6『线路3』
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225618/2/index.m3u8$LR•IPV6『线路4』
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225501/2/index.m3u8$LR•IPV6『线路5』
CCTV1,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$LR•IPV6『线路6』
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$LR•IPV6『线路7』
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226016/index.m3u8$LR•IPV6『线路8』
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$LR•IPV6『线路9』
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$LR•IPV6『线路10』
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8?$LR•IPV6『线路11』
CCTV1,http:///udp/239.45.3.145:5140$LR•IPV4『线路12』
CCTV1,http:///udp/239.252.219.200:5140$LR•IPV4『线路13』
CCTV1,http://114.243.156.93:8888/rtp/239.3.1.129:8008$LR•IPV4『线路14』
CCTV1,http://123.113.237.160:8888/rtp/239.3.1.129:8008$LR•IPV4『线路15』
CCTV1,http://222.129.33.14:8888/rtp/239.3.1.129:8008$LR•IPV4『线路16』
CCTV1,http:///udp/239.76.246.151:1234$LR•IPV4『线路17』
CCTV1,http:///udp/239.76.253.151:9000$LR•IPV4『线路18』
CCTV1,http:///udp/239.93.0.184:5140$LR•IPV4『线路19』
CCTV1,http://183.141.216.3:9999/rtp/233.50.201.118:5140$LR•IPV4『线路20』
CCTV1,http://183.149.180.183:9999/rtp/233.50.201.118:5140$LR•IPV4『线路21』
CCTV1,http://115.220.243.30:9999/rtp/233.50.201.118:5140$LR•IPV4『线路22』
CCTV1,http://119.98.51.196:4022/rtp/239.254.96.96:8550$LR•IPV4『线路23』
CCTV1,http://111.175.166.209:8686/rtp/239.254.96.96:8550$LR•IPV4『线路24』
CCTV1,http://111.175.164.168:8888/rtp/239.254.96.96:8550$LR•IPV4『线路25』
CCTV1,http://e2.woc.iiiya.cn:8888/rtp/239.61.3.61:9884$LR•IPV4『线路26』
CCTV1,http://e2.woc.iiiya.cn:8888/rtp/239.61.3.60:9878$LR•IPV4『线路27』
CCTV1,http://27.10.129.243:8001/udp/225.0.4.74:7980$LR•IPV4『线路28』
CCTV1,http://27.10.129.243:8004/udp/225.0.4.74:7980$LR•IPV4『线路29』
CCTV1,http://220.192.2.145:8002/udp/225.0.4.74:7980$LR•IPV4『线路30』
CCTV1,http://221.196.34.247:4022/udp/225.1.1.120:5002$LR•IPV4『线路31』
CCTV1,http://60.168.224.91:2000/rtp/238.1.78.166:7200$LR•IPV4『线路32』
CCTV1,http://60.168.231.252:2000/rtp/238.1.78.166:7200$LR•IPV4『线路33』
CCTV1,http://106.42.108.91:2000/rtp/239.16.20.1:10010$LR•IPV4『线路34』
CCTV1,http://106.42.108.91:2000/rtp/239.16.10.1:2000$LR•IPV4『线路35』
CCTV1,http://106.42.108.91:2000/rtp/239.16.10.36:2000$LR•IPV4『线路36』
CCTV1,http://123.101.98.200:2000/rtp/239.16.20.1:10010$LR•IPV4『线路37』
CCTV1,http://123.101.98.200:2000/rtp/239.16.10.1:2000$LR•IPV4『线路38』
CCTV1,http://123.101.98.200:2000/rtp/239.16.10.36:2000$LR•IPV4『线路39』
CCTV1,http://223.12.113.32:8082/udp/239.1.1.7:8007$LR•IPV4『线路40』
CCTV1,http://223.12.113.32:8084/udp/239.1.1.7:8007$LR•IPV4『线路41』
CCTV1,http://223.12.113.32:8083/udp/239.1.1.7:8007$LR•IPV4『线路42』
CCTV1,http://202.103.213.10:8888/udp/239.81.0.13:4056$LR•IPV4『线路43』
CCTV1,http://202.103.213.75:8888/udp/239.81.0.13:4056$LR•IPV4『线路44』
CCTV1,http://121.21.84.3:8888/rtp/239.253.92.83:8012$LR•IPV4『线路45』
CCTV1,http://61.55.46.35:4022/rtp/239.253.92.83:8012$LR•IPV4『线路46』
CCTV1,http://60.7.56.22:4000/rtp/239.253.92.83:8012$LR•IPV4『线路47』
CCTV1,http://36.46.98.55:8020/rtp/239.112.205.59:5140$LR•IPV4『线路48』
CCTV1,http://36.46.98.55:8008/rtp/239.112.205.59:5140$LR•IPV4『线路49』
CCTV1,http://36.46.98.55:8021/rtp/239.112.205.59:5140$LR•IPV4『线路50』
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$LR•IPV4『线路51』
